sol,name,udr_image_id,filter_used,comp_quality
317,McamRRecoveredProduct_0425627587-03800-1,12169,NULL,0
133,McamRImage_0409299018-00000-1,12170,0,-95
317,McamRRecoveredProduct_0425627590-16025-1,12170,NULL,0
133,McamRImage_0409299610-00000-1,12172,0,-95
317,McamRRecoveredProduct_0425627620-02725-1,12172,NULL,0
133,McamRImage_0409299652-00000-1,12173,0,-95
317,McamRRecoveredProduct_0425627623-15068-1,12173,NULL,0
133,McamRImage_0409299092-00000-1,12189,0,-95
317,McamRRecoveredProduct_0425627593-29562-1,12189,NULL,0
133,McamRImage_0409299132-00000-1,12190,0,-95
317,McamRRecoveredProduct_0425627596-39765-1,12190,NULL,0
133,McamRImage_0409299180-00000-1,12193,0,-85
317,McamRRecoveredProduct_0425627599-54676-1,12193,NULL,0
133,McamRImage_0409299224-00000-1,12194,0,-85
317,McamRRecoveredProduct_0425627603-10797-1,12194,NULL,0
133,McamRImage_0409299270-00000-1,12198,0,-85
317,McamRRecoveredProduct_0425627606-28180-1,12198,NULL,0
133,McamRImage_0409299310-00000-1,12199,0,-85
317,McamRRecoveredProduct_0425627609-43432-1,12199,NULL,0
133,McamRImage_0409299352-00000-1,12200,0,-85
317,McamRRecoveredProduct_0425627612-59025-1,12200,NULL,0
133,McamRImage_0409299393-00000-1,12201,0,-85
317,McamRRecoveredProduct_0425627616-09076-1,12201,NULL,0
135,McamRImage_0409479412-00000-1,12262,0,-95
317,McamRRecoveredProduct_0425627630-18252-1,12262,NULL,0
135,McamRImage_0409479450-00000-1,12263,1,-85
317,McamRRecoveredProduct_0425627634-01947-1,12263,NULL,0
135,McamRImage_0409479463-00000-1,12264,2,-85
317,McamRRecoveredProduct_0425627637-20968-1,12264,NULL,0
135,McamRImage_0409479476-00000-1,12265,3,-85
317,McamRRecoveredProduct_0425627640-47754-1,12265,NULL,0
135,McamRImage_0409479487-00000-1,12266,4,-85
317,McamRRecoveredProduct_0425627644-13926-1,12266,NULL,0
135,McamRImage_0409479498-00000-1,12267,5,-85
317,McamRRecoveredProduct_0425627647-44870-1,12267,NULL,0
135,McamRImage_0409479512-00000-1,12268,6,-85
317,McamRRecoveredProduct_0425627651-08941-1,12268,NULL,0
135,McamRImage_0409479635-00000-1,12276,0,-95
317,McamRRecoveredProduct_0425627654-31547-1,12276,NULL,0
135,McamRImage_0409479676-00000-1,12277,1,-85
317,McamRRecoveredProduct_0425627657-50864-1,12277,NULL,0
135,McamRImage_0409479688-00000-1,12278,2,-85
317,McamRRecoveredProduct_0425627660-63046-1,12278,NULL,0
135,McamRImage_0409479700-00000-1,12279,3,-85
317,McamRRecoveredProduct_0425627664-18892-1,12279,NULL,0
135,McamRImage_0409479711-00000-1,12280,4,-85
317,McamRRecoveredProduct_0425627667-42465-1,12280,NULL,0
135,McamRImage_0409479722-00000-1,12281,5,-85
317,McamRRecoveredProduct_0425627671-02022-1,12281,NULL,0
135,McamRImage_0409479736-00000-1,12282,6,-85
317,McamRRecoveredProduct_0425627674-22898-1,12282,NULL,0
135,McamRImage_0409479892-00000-1,12290,0,-95
317,McamRRecoveredProduct_0425627677-46992-1,12290,NULL,0
135,McamRImage_0409479938-00000-1,12291,1,-85
317,McamRRecoveredProduct_0425627681-03813-1,12291,NULL,0
135,McamRImage_0409479950-00000-1,12292,2,-85
317,McamRRecoveredProduct_0425627684-18992-1,12292,NULL,0
135,McamRImage_0409479962-00000-1,12293,3,-85
317,McamRRecoveredProduct_0425627687-40280-1,12293,NULL,0
135,McamRImage_0409479973-00000-1,12294,4,-85
317,McamRRecoveredProduct_0425627690-65168-1,12294,NULL,0
135,McamRImage_0409479984-00000-1,12295,5,-85
317,McamRRecoveredProduct_0425627694-24268-1,12295,NULL,0
135,McamRImage_0409479998-00000-1,12296,6,-85
317,McamRRecoveredProduct_0425627697-45500-1,12296,NULL,0
141,McamRImage_0409994796-00000-1,12914,0,-95
317,McamRRecoveredProduct_0425627716-03665-1,12914,NULL,0
141,McamRImage_0409994828-00000-1,12915,0,-95
317,McamRRecoveredProduct_0425627719-19038-1,12915,NULL,0
141,McamRImage_0409994862-00000-1,12916,0,-95
317,McamRRecoveredProduct_0425627722-34472-1,12916,NULL,0
141,McamRImage_0409994896-00000-1,12917,0,-95
317,McamRRecoveredProduct_0425627725-48515-1,12917,NULL,0
141,McamRImage_0409994930-00000-1,12918,0,-95
317,McamRRecoveredProduct_0425627728-65516-1,12918,NULL,0
150,McamRImage_0410808555-00000-1,13072,0,-85
318,McamRRecoveredProduct_0425716903-09947-1,13072,NULL,0
150,McamRImage_0410808601-00000-1,13073,1,-85
318,McamRRecoveredProduct_0425716906-31366-1,13073,NULL,0
150,McamRImage_0410808613-00000-1,13074,2,-85
318,McamRRecoveredProduct_0425716909-45997-1,13074,NULL,0
150,McamRImage_0410808625-00000-1,13075,3,-85
318,McamRRecoveredProduct_0425716912-62328-1,13075,NULL,0
150,McamRImage_0410808636-00000-1,13076,4,-85
318,McamRRecoveredProduct_0425716916-16047-1,13076,NULL,0
150,McamRImage_0410808647-00000-1,13077,5,-85
318,McamRRecoveredProduct_0425716919-35441-1,13077,NULL,0
150,McamRImage_0410808661-00000-1,13078,6,-85
318,McamRRecoveredProduct_0425716923-01375-1,13078,NULL,0
150,McamRImage_0410808676-00000-1,13080,0,-85
318,McamRRecoveredProduct_0425716926-21353-1,13080,NULL,0
153,McamRImage_0411075980-00000-1,13221,0,-85
318,McamRRecoveredProduct_0425716825-51836-1,13221,NULL,0
318,McamRRecoveredProduct_0425716825-51836-2,13221,NULL,0
318,McamRRecoveredProduct_0425716825-51836-3,13221,NULL,0
155,McamRImage_0411249236-00000-1,13320,0,-85
318,McamRRecoveredProduct_0425716838-14326-1,13320,NULL,0
155,McamRImage_0411249272-00000-1,13321,0,-85
318,McamRRecoveredProduct_0425716841-36403-1,13321,NULL,0
155,McamRImage_0411249313-00000-1,13322,0,-85
318,McamRRecoveredProduct_0425716844-51924-1,13322,NULL,0
155,McamRImage_0411249354-00000-1,13323,0,-85
318,McamRRecoveredProduct_0425716848-01608-1,13323,NULL,0
155,McamRImage_0411249395-00000-1,13324,0,-85
318,McamRRecoveredProduct_0425716851-16315-1,13324,NULL,0
155,McamRImage_0411249436-00000-1,13325,0,-85
318,McamRRecoveredProduct_0425716854-31550-1,13325,NULL,0
155,McamRImage_0411249477-00000-1,13326,0,-85
318,McamRRecoveredProduct_0425716857-46797-1,13326,NULL,0
155,McamRImage_0411249518-00000-1,13327,0,-95
318,McamRRecoveredProduct_0425716860-65426-1,13327,NULL,0
